time,.left,.right,.forward,.stop,.sound
2020/11/02/21:42:52.277455,1,0,0,0,0
2020/11/02/21:42:52.282544,1,0,0,0,0
2020/11/02/21:42:52.288700,1,0,0,0,0
2020/11/02/21:42:52.292772,1,0,0,0,0
2020/11/02/21:42:52.297191,1,0,0,0,0
2020/11/02/21:42:52.302456,1,0,0,0,0
2020/11/02/21:42:52.308950,1,0,0,0,0
2020/11/02/21:42:52.312706,1,0,0,0,0
2020/11/02/21:42:52.317512,1,0,0,0,0
2020/11/02/21:42:52.321748,1,0,0,0,0
2020/11/02/21:42:52.328296,1,0,0,0,0
2020/11/02/21:42:52.332297,1,0,0,0,0
2020/11/02/21:42:52.337401,1,0,0,0,0
2020/11/02/21:42:52.342100,1,0,0,0,0
2020/11/02/21:42:52.347619,1,0,0,0,0
2020/11/02/21:42:52.353649,1,0,0,0,0
2020/11/02/21:42:52.360894,1,0,0,0,0
2020/11/02/21:42:52.362073,1,0,0,0,0
2020/11/02/21:42:52.367275,1,0,0,0,0
2020/11/02/21:42:52.376949,1,0,0,0,0
2020/11/02/21:42:52.376971,1,0,0,0,0
2020/11/02/21:42:52.382293,1,0,0,0,0
2020/11/02/21:42:52.387103,1,0,0,0,0
2020/11/02/21:42:52.391640,1,0,0,0,0
2020/11/02/21:42:52.397385,1,0,0,0,0
2020/11/02/21:42:52.402795,1,0,0,0,0
2020/11/02/21:42:52.408592,1,0,0,0,0
2020/11/02/21:42:52.413653,1,0,0,0,0
2020/11/02/21:42:52.418295,1,0,0,0,0
2020/11/02/21:42:52.422624,1,0,0,0,0
2020/11/02/21:42:52.427501,1,0,0,0,0
2020/11/02/21:42:52.432515,1,0,0,0,0
2020/11/02/21:42:52.436836,1,0,0,0,0
2020/11/02/21:42:52.442522,1,0,0,0,0
2020/11/02/21:42:52.447296,1,0,0,0,0
2020/11/02/21:42:52.452762,1,0,0,0,0
2020/11/02/21:42:52.458191,1,0,0,0,0
2020/11/02/21:42:52.463849,1,0,0,0,0
2020/11/02/21:42:52.468415,1,0,0,0,0
2020/11/02/21:42:52.472665,1,0,0,0,0
