time,.left,.right,.forward,.stop,.sound
2020/10/19/16:06:22.804613,0,1,0,0,0
2020/10/19/16:06:22.808578,0,1,0,0,0
2020/10/19/16:06:22.814021,0,1,0,0,0
2020/10/19/16:06:22.819008,0,1,0,0,0
2020/10/19/16:06:22.825801,0,1,0,0,0
2020/10/19/16:06:22.829464,0,1,0,0,0
2020/10/19/16:06:22.835324,0,1,0,0,0
2020/10/19/16:06:22.838135,0,1,0,0,0
2020/10/19/16:06:22.843707,0,1,0,0,0
2020/10/19/16:06:22.849966,0,1,0,0,0
2020/10/19/16:06:22.853899,0,1,0,0,0
2020/10/19/16:06:22.858799,0,1,0,0,0
2020/10/19/16:06:22.864254,0,1,0,0,0
2020/10/19/16:06:22.869225,0,1,0,0,0
2020/10/19/16:06:22.874284,0,1,0,0,0
2020/10/19/16:06:22.880280,0,1,0,0,0
2020/10/19/16:06:22.883849,0,1,0,0,0
2020/10/19/16:06:22.889381,0,1,0,0,0
2020/10/19/16:06:22.894430,0,1,0,0,0
2020/10/19/16:06:22.898578,0,1,0,0,0
2020/10/19/16:06:22.908388,0,1,0,0,0
2020/10/19/16:06:22.910532,0,1,0,0,0
2020/10/19/16:06:22.914109,0,1,0,0,0
2020/10/19/16:06:22.922160,0,1,0,0,0
2020/10/19/16:06:22.923831,0,1,0,0,0
2020/10/19/16:06:22.928163,0,1,0,0,0
2020/10/19/16:06:22.937440,0,1,0,0,0
2020/10/19/16:06:22.940713,0,1,0,0,0
2020/10/19/16:06:22.944487,0,1,0,0,0
2020/10/19/16:06:22.948553,0,1,0,0,0
2020/10/19/16:06:22.953587,0,1,0,0,0
2020/10/19/16:06:22.958564,0,1,0,0,0
2020/10/19/16:06:22.963665,0,1,0,0,0
2020/10/19/16:06:22.968916,0,1,0,0,0
2020/10/19/16:06:22.973895,0,1,0,0,0
2020/10/19/16:06:22.980800,0,1,0,0,0
2020/10/19/16:06:22.984983,0,1,0,0,0
2020/10/19/16:06:22.989002,0,1,0,0,0
2020/10/19/16:06:22.995178,0,1,0,0,0
2020/10/19/16:06:22.998440,0,1,0,0,0
2020/10/19/16:06:23.003371,0,1,0,0,0
2020/10/19/16:06:23.008790,0,1,0,0,0
2020/10/19/16:06:23.014331,0,1,0,0,0
2020/10/19/16:06:23.019340,0,1,0,0,0
2020/10/19/16:06:23.023666,0,1,0,0,0
2020/10/19/16:06:23.028568,0,1,0,0,0
2020/10/19/16:06:23.033466,0,1,0,0,0
2020/10/19/16:06:23.038899,0,1,0,0,0
2020/10/19/16:06:23.043940,0,1,0,0,0
2020/10/19/16:06:23.049289,0,1,0,0,0
2020/10/19/16:06:23.054211,0,1,0,0,0
2020/10/19/16:06:23.058889,0,1,0,0,0
2020/10/19/16:06:23.064214,0,1,0,0,0
2020/10/19/16:06:23.069092,0,1,0,0,0
2020/10/19/16:06:23.073624,0,1,0,0,0
2020/10/19/16:06:23.081771,0,1,0,0,0
2020/10/19/16:06:23.084100,0,1,0,0,0
2020/10/19/16:06:23.088502,0,1,0,0,0
2020/10/19/16:06:23.093789,0,1,0,0,0
2020/10/19/16:06:23.100944,0,1,0,0,0
2020/10/19/16:06:23.104588,0,1,0,0,0
2020/10/19/16:06:23.108582,0,1,0,0,0
2020/10/19/16:06:23.113370,0,1,0,0,0
2020/10/19/16:06:23.118900,0,1,0,0,0
2020/10/19/16:06:23.123431,0,1,0,0,0
2020/10/19/16:06:23.128659,0,1,0,0,0
2020/10/19/16:06:23.133315,0,1,0,0,0
2020/10/19/16:06:23.139312,0,1,0,0,0
2020/10/19/16:06:23.144348,0,1,0,0,0
2020/10/19/16:06:23.155250,0,1,0,0,0
2020/10/19/16:06:23.155546,0,1,0,0,0
2020/10/19/16:06:23.159039,0,1,0,0,0
2020/10/19/16:06:23.163366,0,1,0,0,0
2020/10/19/16:06:23.168260,0,1,0,0,0
2020/10/19/16:06:23.173259,0,1,0,0,0
2020/10/19/16:06:23.181042,0,1,0,0,0
2020/10/19/16:06:23.183484,0,1,0,0,0
2020/10/19/16:06:23.204290,0,1,0,0,0
2020/10/19/16:06:23.204361,0,1,0,0,0
2020/10/19/16:06:23.206043,0,1,0,0,0
2020/10/19/16:06:23.213866,0,1,0,0,0
2020/10/19/16:06:23.214027,0,1,0,0,0
2020/10/19/16:06:23.214399,0,1,0,0,0
2020/10/19/16:06:23.218213,0,1,0,0,0
2020/10/19/16:06:23.223040,0,1,0,0,0
2020/10/19/16:06:23.227955,0,1,0,0,0
2020/10/19/16:06:23.233633,0,1,0,0,0
2020/10/19/16:06:23.238858,0,1,0,0,0
2020/10/19/16:06:23.244203,0,1,0,0,0
2020/10/19/16:06:23.249550,0,1,0,0,0
2020/10/19/16:06:23.254442,0,1,0,0,0
2020/10/19/16:06:23.260815,0,1,0,0,0
2020/10/19/16:06:23.265447,0,1,0,0,0
2020/10/19/16:06:23.269171,0,1,0,0,0
2020/10/19/16:06:23.273466,0,1,0,0,0
2020/10/19/16:06:23.278762,0,1,0,0,0
2020/10/19/16:06:23.283181,0,1,0,0,0
2020/10/19/16:06:23.288824,0,1,0,0,0
2020/10/19/16:06:23.293390,0,1,0,0,0
2020/10/19/16:06:23.304595,0,1,0,0,0
2020/10/19/16:06:23.304628,0,1,0,0,0
2020/10/19/16:06:23.309228,0,1,0,0,0
2020/10/19/16:06:23.316520,0,1,0,0,0
2020/10/19/16:06:23.318891,0,1,0,0,0
2020/10/19/16:06:23.323647,0,1,0,0,0
2020/10/19/16:06:23.328693,0,1,0,0,0
2020/10/19/16:06:23.333436,0,1,0,0,0
2020/10/19/16:06:23.339145,0,1,0,0,0
2020/10/19/16:06:23.343459,0,1,0,0,0
2020/10/19/16:06:23.348646,0,1,0,0,0
2020/10/19/16:06:23.355897,0,1,0,0,0
2020/10/19/16:06:23.360134,0,1,0,0,0
2020/10/19/16:06:23.363508,0,1,0,0,0
2020/10/19/16:06:23.368293,0,1,0,0,0
2020/10/19/16:06:23.373486,0,1,0,0,0
2020/10/19/16:06:23.378177,0,1,0,0,0
2020/10/19/16:06:23.383169,0,1,0,0,0
2020/10/19/16:06:23.388556,0,1,0,0,0
2020/10/19/16:06:23.394173,0,1,0,0,0
2020/10/19/16:06:23.398284,0,1,0,0,0
2020/10/19/16:06:23.404286,0,1,0,0,0
2020/10/19/16:06:23.411270,0,1,0,0,0
2020/10/19/16:06:23.414402,0,1,0,0,0
2020/10/19/16:06:23.421537,0,1,0,0,0
2020/10/19/16:06:23.423826,0,1,0,0,0
2020/10/19/16:06:23.428061,0,1,0,0,0
2020/10/19/16:06:23.433760,0,1,0,0,0
2020/10/19/16:06:23.439139,0,1,0,0,0
2020/10/19/16:06:23.444827,0,1,0,0,0
2020/10/19/16:06:23.449174,0,1,0,0,0
2020/10/19/16:06:23.454120,0,1,0,0,0
2020/10/19/16:06:23.458240,0,1,0,0,0
2020/10/19/16:06:23.463815,0,1,0,0,0
2020/10/19/16:06:23.469262,0,1,0,0,0
2020/10/19/16:06:23.473786,0,1,0,0,0
2020/10/19/16:06:23.478159,0,1,0,0,0
2020/10/19/16:06:23.483500,0,1,0,0,0
2020/10/19/16:06:23.488336,0,1,0,0,0
2020/10/19/16:06:23.494197,0,1,0,0,0
2020/10/19/16:06:23.499650,0,1,0,0,0
2020/10/19/16:06:23.503608,0,1,0,0,0
2020/10/19/16:06:23.509007,0,1,0,0,0
2020/10/19/16:06:23.515733,0,1,0,0,0
2020/10/19/16:06:23.520952,0,1,0,0,0
2020/10/19/16:06:23.523767,0,1,0,0,0
2020/10/19/16:06:23.528685,0,1,0,0,0
2020/10/19/16:06:23.533408,0,1,0,0,0
2020/10/19/16:06:23.538441,0,1,0,0,0
2020/10/19/16:06:23.544539,0,1,0,0,0
2020/10/19/16:06:23.549137,0,1,0,0,0
2020/10/19/16:06:23.557614,0,1,0,0,0
2020/10/19/16:06:23.560477,0,1,0,0,0
2020/10/19/16:06:23.566794,0,1,0,0,0
2020/10/19/16:06:23.571560,0,1,0,0,0
2020/10/19/16:06:23.576726,0,1,0,0,0
2020/10/19/16:06:23.578294,0,1,0,0,0
2020/10/19/16:06:23.583352,0,1,0,0,0
2020/10/19/16:06:23.589354,0,1,0,0,0
2020/10/19/16:06:23.593728,0,1,0,0,0
2020/10/19/16:06:23.599926,0,1,0,0,0
2020/10/19/16:06:23.604474,0,1,0,0,0
2020/10/19/16:06:23.609085,0,1,0,0,0
2020/10/19/16:06:23.613834,0,1,0,0,0
2020/10/19/16:06:23.618678,0,1,0,0,0
2020/10/19/16:06:23.623188,0,1,0,0,0
2020/10/19/16:06:23.628758,0,1,0,0,0
2020/10/19/16:06:23.633284,0,1,0,0,0
2020/10/19/16:06:23.638176,0,1,0,0,0
2020/10/19/16:06:23.643481,0,1,0,0,0
2020/10/19/16:06:23.648748,0,1,0,0,0
2020/10/19/16:06:23.655462,0,1,0,0,0
2020/10/19/16:06:23.661556,0,1,0,0,0
2020/10/19/16:06:23.664155,0,1,0,0,0
2020/10/19/16:06:23.670159,0,1,0,0,0
2020/10/19/16:06:23.674167,0,1,0,0,0
2020/10/19/16:06:23.678007,0,1,0,0,0
2020/10/19/16:06:23.683785,0,1,0,0,0
2020/10/19/16:06:23.688695,0,1,0,0,0
2020/10/19/16:06:23.694390,0,1,0,0,0
2020/10/19/16:06:23.698453,0,1,0,0,0
2020/10/19/16:06:23.703899,0,1,0,0,0
2020/10/19/16:06:23.710924,0,1,0,0,0
2020/10/19/16:06:23.716554,0,1,0,0,0
2020/10/19/16:06:23.724158,0,1,0,0,0
2020/10/19/16:06:23.724613,0,1,0,0,0
2020/10/19/16:06:23.728732,0,1,0,0,0
2020/10/19/16:06:23.733057,0,1,0,0,0
2020/10/19/16:06:23.738057,0,1,0,0,0
2020/10/19/16:06:23.743254,0,1,0,0,0
2020/10/19/16:06:23.748792,0,1,0,0,0
2020/10/19/16:06:23.759416,0,1,0,0,0
2020/10/19/16:06:23.759495,0,1,0,0,0
2020/10/19/16:06:23.763904,0,1,0,0,0
