rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,magnetic_field,x,y,z,magnetic_field_covariance
1606295491825322562,,90429,,1606295491,939733944,"""spatial""",,4.72109863281e-05,-2.44601257324e-05,3.01715637207e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295491870215552,,90430,,1606295491,983578780,"""spatial""",,4.72395080566e-05,-2.45518951416e-05,3.0253314209e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295491922313289,,90431,,1606295492,32320128,"""spatial""",,4.71427825928e-05,-2.473309021e-05,3.0319619751e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295491974878799,,90432,,1606295492,88940426,"""spatial""",,4.70083831787e-05,-2.48330429077e-05,3.03687011719e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295492026601127,,90433,,1606295492,139505599,"""spatial""",,4.69798522949e-05,-2.49858673096e-05,3.04113433838e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295492085085800,,90434,,1606295492,198866347,"""spatial""",,4.69234283447e-05,-2.49951690674e-05,3.04560668945e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295492119262193,,90435,,1606295492,231548733,"""spatial""",,4.69413513184e-05,-2.50451324463e-05,3.05089172363e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295492170089735,,90436,,1606295492,283837006,"""spatial""",,4.69214416504e-05,-2.50205535889e-05,3.05141113281e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295492225995438,,90437,,1606295492,338505091,"""spatial""",,4.69524169922e-05,-2.487862854e-05,3.04960083008e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295492279080889,,90438,,1606295492,394063577,"""spatial""",,4.7099798584e-05,-2.45787063599e-05,3.03985717773e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295492339753870,,90439,,1606295492,430615388,"""spatial""",,4.73186798096e-05,-2.43374008179e-05,3.02710266113e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295492373877924,,90440,,1606295492,488431648,"""spatial""",,4.74002563477e-05,-2.41750610352e-05,3.02604064941e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295492429328568,,90441,,1606295492,539238646,"""spatial""",,4.76114929199e-05,-2.39275253296e-05,3.01793945312e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295492484495048,,90442,,1606295492,598479031,"""spatial""",,4.7825201416e-05,-2.36068267822e-05,2.99427307129e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295492516491262,,90443,,1606295492,631206405,"""spatial""",,4.80768188477e-05,-2.30412536621e-05,2.97765014648e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295492571280854,,90444,,1606295492,683475978,"""spatial""",,4.8348348999e-05,-2.26790161133e-05,2.96957641602e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295492624119810,,90445,,1606295492,738115614,"""spatial""",,4.8766229248e-05,-2.18810882568e-05,2.94845153809e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295492679492424,,90446,,1606295492,793700724,"""spatial""",,4.91262145996e-05,-2.10997558594e-05,2.92307861328e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295492716908139,,90447,,1606295492,830345260,"""spatial""",,4.95738525391e-05,-2.0190234375e-05,2.88453430176e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
