rosbagTimestamp,data
1606295381347538872,"""1606295380.999973,38.254633,140.835521,197.502000,0.050000,0.015000,-0.014000,6.288000,6.288000,9.536000,2,1,1,0"""
1606295381447313946,"""1606295381.199973,38.254633,140.835521,197.504000,0.053000,0.007000,-0.018000,6.288000,6.288000,9.536000,2,1,1,0"""
1606295381498891451,"""1606295381.199973,38.254633,140.835521,197.504000,0.053000,0.007000,-0.018000,6.288000,6.288000,9.536000,2,1,1,0"""
1606295381562636614,"""1606295381.399973,38.254633,140.835522,197.510000,0.086000,0.024000,-0.023000,6.304000,6.304000,9.536000,2,1,1,0"""
1606295381690945408,"""1606295381.399973,38.254633,140.835522,197.510000,0.086000,0.024000,-0.023000,6.304000,6.304000,9.536000,2,1,1,0"""
1606295381746184620,"""1606295381.599973,38.254633,140.835522,197.504000,0.095000,0.036000,-0.016000,6.304000,6.304000,9.536000,2,1,1,0"""
1606295381818160484,"""1606295381.699973,38.254633,140.835522,197.495000,0.106000,0.038000,-0.010000,6.272000,6.272000,9.504001,2,1,1,0"""
1606295381973546732,"""1606295381.799973,38.254634,140.835522,197.476000,0.129000,0.057000,0.001000,6.256001,6.256001,9.472000,2,1,1,0"""
1606295382018770254,"""1606295381.799973,38.254634,140.835522,197.476000,0.129000,0.057000,0.001000,6.256001,6.256001,9.472000,2,1,1,0"""
1606295382124889998,"""1606295381.999973,38.254634,140.835522,197.472000,0.128000,0.066000,0.001000,6.272000,6.272000,9.472000,2,1,1,0"""
1606295382236711418,"""1606295381.999973,38.254634,140.835522,197.472000,0.128000,0.066000,0.001000,6.272000,6.272000,9.472000,2,1,1,0"""
1606295382321224884,"""1606295382.199973,38.254634,140.835522,197.466000,0.112000,0.044000,0.009000,6.272000,6.272000,9.472000,2,1,1,0"""
1606295382434796314,"""1606295382.199973,38.254634,140.835522,197.466000,0.112000,0.044000,0.009000,6.272000,6.272000,9.472000,2,1,1,0"""
1606295382521409302,"""1606295382.399973,38.254634,140.835522,197.459000,0.105000,0.032000,0.012000,6.272000,6.272000,9.472000,2,1,1,0"""
1606295382632506356,"""1606295382.399973,38.254634,140.835522,197.459000,0.105000,0.032000,0.012000,6.272000,6.272000,9.472000,2,1,1,0"""
1606295382718862710,"""1606295382.599972,38.254634,140.835523,197.420000,0.046000,0.028000,0.038000,6.288000,6.288000,9.472000,2,1,1,0"""
1606295383050523881,"""1606295382.599972,38.254634,140.835523,197.420000,0.046000,0.028000,0.038000,6.288000,6.288000,9.472000,2,1,1,0"""
1606295383091841481,"""1606295382.799972,38.254634,140.835523,197.439000,0.044000,0.022000,0.007000,6.288000,6.288000,9.472000,2,1,1,0"""
1606295383091850292,"""1606295382.999972,38.254634,140.835523,197.393000,0.022000,0.018000,0.049000,6.304000,6.304000,9.488001,2,1,1,0"""
1606295383189460742,"""1606295382.999972,38.254634,140.835523,197.393000,0.022000,0.018000,0.049000,6.304000,6.304000,9.488001,2,1,1,0"""
1606295383276257292,"""1606295383.99972,38.254634,140.835522,197.444000,-0.034000,-0.016000,0.003000,6.288000,6.288000,9.456000,2,1,1,0"""
1606295383414399070,"""1606295383.99972,38.254634,140.835522,197.444000,-0.034000,-0.016000,0.003000,6.288000,6.288000,9.456000,2,1,1,0"""
1606295383444374009,"""1606295383.299972,38.254634,140.835523,197.425000,0.023000,0.005000,0.017000,6.288000,6.288000,9.456000,2,1,1,0"""
1606295383530731700,"""1606295383.299972,38.254634,140.835523,197.425000,0.023000,0.005000,0.017000,6.288000,6.288000,9.456000,2,1,1,0"""
1606295383636416052,"""1606295383.499972,38.254634,140.835522,197.419000,0.025000,-0.049000,0.018000,6.304000,6.304000,9.472000,2,1,1,0"""
1606295383727817642,"""1606295383.499972,38.254634,140.835522,197.419000,0.025000,-0.049000,0.018000,6.304000,6.304000,9.472000,2,1,1,0"""
1606295383818279086,"""1606295383.699972,38.254634,140.835522,197.416000,0.010000,-0.071000,0.013000,6.304000,6.304000,9.472000,2,1,1,0"""
1606295383926088022,"""1606295383.699972,38.254634,140.835522,197.416000,0.010000,-0.071000,0.013000,6.304000,6.304000,9.472000,2,1,1,0"""
1606295384019347372,"""1606295383.899972,38.254634,140.835522,197.402000,-0.001000,-0.115000,0.019000,6.304000,6.304000,9.472000,2,1,1,0"""
1606295384164133074,"""1606295383.899972,38.254634,140.835522,197.402000,-0.001000,-0.115000,0.019000,6.304000,6.304000,9.472000,2,1,1,0"""
1606295384234811708,"""1606295384.99972,38.254634,140.835521,197.399000,-0.016000,-0.125000,0.017000,6.320000,6.320000,9.472000,2,1,1,0"""
1606295384321117480,"""1606295384.99972,38.254634,140.835521,197.399000,-0.016000,-0.125000,0.017000,6.320000,6.320000,9.472000,2,1,1,0"""
